event_name,bracket_stage,match_id,match_datetime,map_name,team1_name,team1_score,team2_name,team2_score,player_name,player_team,agent_played,rating_2_0,ACS,KDRatio,KAST_pct,ADR,total_kills,total_deaths,total_assists,game_type
Champions Tour 2024: EMEA Stage 1,"Playoffs: 
						Knockout Round",341816,"Wednesday, May 8th 8:00 AM PDT",Ascent,FNATIC,13.0,Team Liquid,11.0,Boaster,FNC,omen,0.23,80.0,0.273,,55.0,6.0,22.0,10.0,Playoffs
Champions Tour 2024: EMEA Stage 1,"Playoffs: 
						Knockout Round",341816,"Wednesday, May 8th 8:00 AM PDT",Icebox,FNATIC,12.0,Team Liquid,14.0,Boaster,FNC,viper,1.2,208.0,1.267,,126.0,19.0,15.0,10.0,Playoffs
Champions Tour 2024: EMEA Stage 1,"Playoffs: 
						Knockout Round",341816,"Wednesday, May 8th 8:00 AM PDT",Lotus,FNATIC,13.0,Team Liquid,5.0,Boaster,FNC,omen,0.8,132.0,0.583,,78.0,7.0,12.0,10.0,Playoffs
Champions Tour 2023: EMEA League,"Playoffs: 
						Upper Semifinals",213195,"Wednesday, May 24th 8:00 AM PDT",Bind,FNATIC,9.0,FUT Esports,13.0,Boaster,FNC,brimstone,0.77,133.0,0.6,,90.0,9.0,15.0,13.0,Playoffs
Champions Tour 2023: EMEA League,"Playoffs: 
						Upper Semifinals",213195,"Wednesday, May 24th 8:00 AM PDT",Split,FNATIC,13.0,FUT Esports,2.0,Boaster,FNC,omen,1.26,136.0,2.0,,105.0,8.0,4.0,8.0,Playoffs
Champions Tour 2023: EMEA League,"Playoffs: 
						Upper Semifinals",213195,"Wednesday, May 24th 8:00 AM PDT",Lotus,FNATIC,13.0,FUT Esports,1.0,Boaster,FNC,astra,0.93,114.0,1.0,,72.0,6.0,6.0,6.0,Playoffs
Champions Tour Stage 1: EMEA Challengers,"Playoffs: 
						Upper Semifinals",79075,"Wednesday, March 23rd 8:00 AM PDT",Fracture,FNATIC,13.0,M3 Champions,11.0,Boaster,FNC,viper,1.23,232.0,1.125,,154.0,18.0,16.0,10.0,Playoffs
Champions Tour Stage 1: EMEA Challengers,"Playoffs: 
						Upper Semifinals",79075,"Wednesday, March 23rd 8:00 AM PDT",Bind,FNATIC,8.0,M3 Champions,13.0,Boaster,FNC,skye,0.68,148.0,0.647,,98.0,11.0,17.0,3.0,Playoffs
Champions Tour Stage 1: EMEA Challengers,"Playoffs: 
						Upper Semifinals",79075,"Wednesday, March 23rd 8:00 AM PDT",Split,FNATIC,23.0,M3 Champions,21.0,Boaster,FNC,kayo,0.49,119.0,0.472,,75.0,17.0,36.0,17.0,Playoffs
Champions Tour Europe Stage 3: Challengers 1,"Main Event: 
						Upper Quarterfinals",24949,"Wednesday, July 7th 5:00 AM PDT",Breeze,Team Liquid,11.0,FNATIC,13.0,Boaster,FNC,astra,1.18,232.0,1.333,,136.0,20.0,15.0,3.0,Playoffs
Champions Tour Europe Stage 3: Challengers 1,"Main Event: 
						Upper Quarterfinals",24949,"Wednesday, July 7th 5:00 AM PDT",Bind,Team Liquid,13.0,FNATIC,9.0,Boaster,FNC,astra,0.71,168.0,0.579,,115.0,11.0,19.0,6.0,Playoffs
Champions Tour Europe Stage 3: Challengers 1,"Main Event: 
						Upper Quarterfinals",24949,"Wednesday, July 7th 5:00 AM PDT",Haven,Team Liquid,10.0,FNATIC,13.0,Boaster,FNC,sova,,,1.286,,,18.0,14.0,11.0,Playoffs
Champions Tour Europe Stage 3: Challengers 2,"Main Event: 
						Upper Quarterfinals",28909,"Wednesday, July 28th 8:30 AM PDT",Haven,FNATIC,14.0,Alliance,12.0,Boaster,FNC,sova,0.7,143.0,0.526,,109.0,10.0,19.0,14.0,Playoffs
Champions Tour Europe Stage 3: Challengers 2,"Main Event: 
						Upper Quarterfinals",28909,"Wednesday, July 28th 8:30 AM PDT",Icebox,FNATIC,13.0,Alliance,7.0,Boaster,FNC,sova,0.73,151.0,0.714,,99.0,10.0,14.0,7.0,Playoffs
Champions Tour 2024: EMEA Stage 2,"Playoffs: 
						Upper Final",371282,"Wednesday, July 17th 9:00 AM PDT",Lotus,Team Vitality,11.0,FNATIC,13.0,Boaster,FNC,omen,0.74,164.0,0.706,,104.0,12.0,17.0,10.0,Playoffs
Champions Tour 2024: EMEA Stage 2,"Playoffs: 
						Upper Final",371282,"Wednesday, July 17th 9:00 AM PDT",Sunset,Team Vitality,6.0,FNATIC,13.0,Boaster,FNC,astra,1.14,208.0,1.083,,153.0,13.0,12.0,9.0,Playoffs
Valorant Champions 2023,"Playoffs: 
						Upper Quarterfinals",248270,"Wednesday, August 16th 12:00 PM PDT",Ascent,FNATIC,11.0,LOUD,13.0,Boaster,FNC,omen,0.68,132.0,0.588,,86.0,10.0,17.0,10.0,Playoffs
Valorant Champions 2023,"Playoffs: 
						Upper Quarterfinals",248270,"Wednesday, August 16th 12:00 PM PDT",Lotus,FNATIC,6.0,LOUD,13.0,Boaster,FNC,astra,1.09,192.0,0.846,,126.0,11.0,13.0,8.0,Playoffs
VCT 2025: EMEA Stage 2,"Group Stage: 
						Week 5",511576,"Wednesday, August 13th 11:00 AM PDT",Unknown,Unknown,,Unknown,,Boaster,FNC,,,,,,,,,,Regular Season
VCT 2025: EMEA Stage 2,"Group Stage: 
						Week 5",511576,"Wednesday, August 13th 11:00 AM PDT",TBD,Apeks,0.0,FNATIC,0.0,Boaster,FNC,,,,,,,,,,Regular Season
Valorant Champions 2022,"Playoffs: 
						Lower Round 2",130689,"Tuesday, September 13th 7:00 AM PDT",Icebox,DRX,7.0,FNATIC,13.0,Boaster,FNC,viper,1.15,171.0,1.375,,99.0,11.0,8.0,10.0,Playoffs
Valorant Champions 2022,"Playoffs: 
						Lower Round 2",130689,"Tuesday, September 13th 7:00 AM PDT",Ascent,DRX,14.0,FNATIC,12.0,Boaster,FNC,omen,1.07,199.0,1.056,,133.0,19.0,18.0,5.0,Playoffs
Valorant Champions 2022,"Playoffs: 
						Lower Round 2",130689,"Tuesday, September 13th 7:00 AM PDT",Fracture,DRX,13.0,FNATIC,9.0,Boaster,FNC,brimstone,0.99,200.0,0.647,,150.0,11.0,17.0,15.0,Playoffs
Valorant Champions Tour Stage 2: Masters Reykjavík,"Main Event: 
						Upper Quarterfinals",19073,"Tuesday, May 25th 3:05 PM PDT",Icebox,Sentinels,13.0,FNATIC,11.0,Boaster,FNC,sova,0.92,205.0,0.889,,136.0,16.0,18.0,6.0,Playoffs
Valorant Champions Tour Stage 2: Masters Reykjavík,"Main Event: 
						Upper Quarterfinals",19073,"Tuesday, May 25th 3:05 PM PDT",Haven,Sentinels,13.0,FNATIC,10.0,Boaster,FNC,astra,1.0,220.0,1.0,,145.0,16.0,16.0,6.0,Playoffs
Champions Tour 2023: Masters Tokyo,"Playoffs: 
						Upper Final",220447,"Tuesday, June 20th 8:00 PM PDT",Lotus,FNATIC,13.0,Evil Geniuses,3.0,Boaster,FNC,astra,1.15,175.0,1.125,,105.0,9.0,8.0,13.0,Playoffs
Champions Tour 2023: Masters Tokyo,"Playoffs: 
						Upper Final",220447,"Tuesday, June 20th 8:00 PM PDT",Fracture,FNATIC,9.0,Evil Geniuses,13.0,Boaster,FNC,brimstone,0.9,164.0,0.8,,101.0,12.0,15.0,9.0,Playoffs
Champions Tour 2023: Masters Tokyo,"Playoffs: 
						Upper Final",220447,"Tuesday, June 20th 8:00 PM PDT",Split,FNATIC,13.0,Evil Geniuses,11.0,Boaster,FNC,omen,1.11,188.0,0.933,,120.0,14.0,15.0,15.0,Playoffs
Valorant Masters Toronto 2025,"Playoffs: 
						Lower Round 2",498632,"Tuesday, June 17th 12:35 PM PDT",Sunset,Sentinels,13.0,FNATIC,9.0,Boaster,FNC,omen,0.53,113.0,0.412,,71.0,7.0,17.0,9.0,Playoffs
Valorant Masters Toronto 2025,"Playoffs: 
						Lower Round 2",498632,"Tuesday, June 17th 12:35 PM PDT",Ascent,Sentinels,7.0,FNATIC,13.0,Boaster,FNC,omen,1.05,162.0,1.0,,97.0,10.0,10.0,11.0,Playoffs
Valorant Masters Toronto 2025,"Playoffs: 
						Lower Round 2",498632,"Tuesday, June 17th 12:35 PM PDT",Icebox,Sentinels,9.0,FNATIC,13.0,Boaster,FNC,viper,0.76,133.0,0.714,,88.0,10.0,14.0,4.0,Playoffs
Esports World Cup 2025,"Group Stage: 
						Opening (D)",510143,"Tuesday, July 8th 5:00 AM PDT",Unknown,Unknown,,Unknown,,Boaster,FNC,,,,,,,,,,Regular Season
Champions Tour 2024: EMEA Stage 2,"Playoffs: 
						Upper Semifinals",371281,"Tuesday, July 16th 12:45 PM PDT",Sunset,FUT Esports,13.0,FNATIC,15.0,Boaster,FNC,astra,0.74,137.0,0.619,,97.0,13.0,21.0,5.0,Playoffs
Champions Tour 2024: EMEA Stage 2,"Playoffs: 
						Upper Semifinals",371281,"Tuesday, July 16th 12:45 PM PDT",Haven,FUT Esports,5.0,FNATIC,13.0,Boaster,FNC,omen,1.21,224.0,1.3,,157.0,13.0,10.0,10.0,Playoffs
