event_name,bracket_stage,match_id,match_datetime,map_name,team1_name,team1_score,team2_name,team2_score,player_name,player_team,agent_played,rating_2_0,ACS,KDRatio,KAST_pct,ADR,total_kills,total_deaths,total_assists,game_type
LeStream x BMW: The 2 Gran Coupé,"Tournament: 
						Grand Final",603,"Wednesday, May 27th 11:30 AM PDT",Unknown,Unknown,,Unknown,,Ex6TenZ,SFCS,,,0.0,,,,0.0,0.0,0.0,Playoffs
LeStream x BMW: The 2 Gran Coupé,"Tournament: 
						Grand Final",603,"Wednesday, May 27th 11:30 AM PDT",Bind,StartedFromCS,13.0,BlackBelts,6.0,Ex6TenZ,SFCS,,,0.0,,,,0.0,0.0,0.0,Playoffs
Valorant Champions Tour Stage 2: Masters Reykjavík,"Main Event: 
						Upper Semifinals",19078,"Wednesday, May 26th 12:30 PM PDT",Icebox,Sentinels,13.0,Team Vikings,7.0,TenZ,SEN,reyna,1.24,266.0,1.462,,141.0,19.0,13.0,4.0,Playoffs
Valorant Champions Tour Stage 2: Masters Reykjavík,"Main Event: 
						Upper Semifinals",19078,"Wednesday, May 26th 12:30 PM PDT",Haven,Sentinels,13.0,Team Vikings,6.0,TenZ,SEN,jett,1.59,309.0,2.333,,184.0,21.0,9.0,2.0,Playoffs
Challengers 2025: North America ACE Stage 2,"Playoffs: 
						Lower Round 1",486230,"Wednesday, May 21st 1:00 PM PDT",Split,YFP,13.0,Cubert Academy,11.0,TenZ,CUBE,yoru,1.03,236.0,1.25,,139.0,20.0,16.0,5.0,Playoffs
Challengers 2025: North America ACE Stage 2,"Playoffs: 
						Lower Round 1",486230,"Wednesday, May 21st 1:00 PM PDT",Lotus,YFP,13.0,Cubert Academy,4.0,TenZ,CUBE,yoru,0.84,204.0,0.75,,145.0,12.0,16.0,3.0,Playoffs
Challengers 2025: Japan Split 3,"Main Stage: 
						Week 3",510435,"Wednesday, July 30th 3:00 AM PDT",Unknown,Unknown,,Unknown,,MrTenzouEz,FL,,,,,,,,,,Regular Season
Challengers 2025: Japan Split 3,"Main Stage: 
						Week 3",510435,"Wednesday, July 30th 3:00 AM PDT",TBD,FENNEL,0.0,RIDDLE ORDER,0.0,MrTenzouEz,FL,,,,,,,,,,Regular Season
Challengers 2025: Japan Split 3,"Main Stage: 
						Week 2",510425,"Wednesday, July 23rd 9:00 PM PDT",Unknown,Unknown,,Unknown,,MrTenzouEz,FL,,,,,,,,,,Regular Season
Challengers 2025: Japan Split 3,"Main Stage: 
						Week 2",510425,"Wednesday, July 23rd 9:00 PM PDT",TBD,FENNEL,0.0,REJECT,0.0,MrTenzouEz,FL,,,,,,,,,,Regular Season
Champions Tour Japan Stage 3: Challengers 2,"Main Event: 
						Group A",28719,"Wednesday, July 21st 9:10 PM PDT",Ascent,FENNEL,13.0,Gaming Team SELECTOR,8.0,MrTenzouEz,GTS,skye,0.79,142.0,0.688,,94.0,11.0,16.0,4.0,Regular Season
Champions Tour Japan Stage 3: Challengers 2,"Main Event: 
						Group A",28719,"Wednesday, July 21st 9:10 PM PDT",Bind,FENNEL,7.0,Gaming Team SELECTOR,13.0,MrTenzouEz,GTS,skye,1.37,278.0,1.583,,175.0,19.0,12.0,7.0,Regular Season
Rise of Titans,"Invite Stage: 
						Grand Final",253,"Wednesday, July 1st 10:00 AM PDT",Haven,StartedFromCS,6.0,FABRIKEN,13.0,Ex6TenZ,SFCS,brimstone,,106.0,0.333,,,5.0,15.0,6.0,Playoffs
Rise of Titans,"Invite Stage: 
						Grand Final",253,"Wednesday, July 1st 10:00 AM PDT",Bind,StartedFromCS,8.0,FABRIKEN,13.0,Ex6TenZ,SFCS,brimstone,,112.0,0.389,,,7.0,18.0,3.0,Playoffs
Champions Tour 2024: Americas Stage 2,"Playoffs: 
						Knockout Round",371267,"Wednesday, July 17th 5:30 PM PDT",Haven,Sentinels,7.0,100 Thieves,13.0,TenZ,SEN,omen,1.11,254.0,1.067,,162.0,16.0,15.0,6.0,Playoffs
Champions Tour 2024: Americas Stage 2,"Playoffs: 
						Knockout Round",371267,"Wednesday, July 17th 5:30 PM PDT",Ascent,Sentinels,10.0,100 Thieves,13.0,TenZ,SEN,omen,0.94,206.0,0.882,,133.0,15.0,17.0,10.0,Playoffs
Challengers 2025: Japan Split 1,"Main Stage: 
						Upper Semifinals",438171,"Wednesday, February 12th 1:40 AM PST",Split,FENNEL,8.0,REJECT,13.0,MrTenzouEz,FL,tejo,0.54,142.0,0.556,,101.0,10.0,18.0,4.0,Playoffs
Challengers 2025: Japan Split 1,"Main Stage: 
						Upper Semifinals",438171,"Wednesday, February 12th 1:40 AM PST",Lotus,FENNEL,13.0,REJECT,11.0,MrTenzouEz,FL,fade,1.0,225.0,1.056,,153.0,19.0,18.0,4.0,Playoffs
Challengers 2025: Japan Split 1,"Main Stage: 
						Upper Semifinals",438171,"Wednesday, February 12th 1:40 AM PST",Fracture,FENNEL,10.0,REJECT,13.0,MrTenzouEz,FL,tejo,1.17,279.0,1.294,,172.0,22.0,17.0,3.0,Playoffs
Pop Flash Invitational,"Tournament: 
						Opening (A)",2056,"Wednesday, August 26th 11:25 AM PDT",Split,Gen.G,13.0,Cloud9,8.0,TenZ,C9,reyna,,258.0,1.2,,132.0,18.0,15.0,5.0,Regular Season
Pop Flash Invitational,"Tournament: 
						Opening (A)",2056,"Wednesday, August 26th 11:25 AM PDT",Ascent,Gen.G,5.0,Cloud9,13.0,TenZ,C9,reyna,,333.0,1.769,,201.0,23.0,13.0,5.0,Regular Season
Pop Flash Invitational,"Tournament: 
						Opening (A)",2056,"Wednesday, August 26th 11:25 AM PDT",Bind,Gen.G,6.0,Cloud9,13.0,TenZ,C9,reyna,,272.0,2.0,,171.0,18.0,9.0,4.0,Regular Season
Valorant Champions 2024,"Playoffs: 
						Upper Quarterfinals",378822,"Wednesday, August 14th 1:00 AM PDT",Sunset,DRX,13.0,Sentinels,15.0,TenZ,SEN,omen,1.14,211.0,1.105,,141.0,21.0,19.0,13.0,Playoffs
Valorant Champions 2024,"Playoffs: 
						Upper Quarterfinals",378822,"Wednesday, August 14th 1:00 AM PDT",Haven,DRX,8.0,Sentinels,13.0,TenZ,SEN,omen,0.99,197.0,1.0,,124.0,15.0,15.0,8.0,Playoffs
Champions Tour North America Stage 3: Challengers Playoffs,"Main Event: 
						Upper Semifinals",29395,"Wednesday, August 11th 5:05 PM PDT",Icebox,Sentinels,13.0,ENVY,11.0,TenZ,SEN,reyna,1.5,333.0,1.706,,190.0,29.0,17.0,5.0,Playoffs
Champions Tour North America Stage 3: Challengers Playoffs,"Main Event: 
						Upper Semifinals",29395,"Wednesday, August 11th 5:05 PM PDT",Haven,Sentinels,13.0,ENVY,11.0,TenZ,SEN,jett,0.81,208.0,0.762,,121.0,16.0,21.0,8.0,Playoffs
Champions Tour North America Stage 3: Challengers Playoffs,"Main Event: 
						Upper Quarterfinals",29391,"Wednesday, August 11th 12:00 PM PDT",Breeze,Sentinels,13.0,Rise,3.0,TenZ,SEN,jett,1.14,188.0,1.5,,114.0,12.0,8.0,2.0,Playoffs
Champions Tour North America Stage 3: Challengers Playoffs,"Main Event: 
						Upper Quarterfinals",29391,"Wednesday, August 11th 12:00 PM PDT",Ascent,Sentinels,7.0,Rise,13.0,TenZ,SEN,jett,0.59,132.0,0.625,,73.0,10.0,16.0,3.0,Playoffs
Champions Tour North America Stage 3: Challengers Playoffs,"Main Event: 
						Upper Quarterfinals",29391,"Wednesday, August 11th 12:00 PM PDT",Bind,Sentinels,13.0,Rise,4.0,TenZ,SEN,reyna,1.93,339.0,2.333,,211.0,21.0,9.0,8.0,Playoffs
Challengers League Japan: Split 2,"Playoffs: 
						Lower Round 1",207168,"Tuesday, May 9th 8:30 PM PDT",Ascent,FENNEL,15.0,CREST GAMING Zst,13.0,MrTenzouEz,CGZ,sova,0.82,144.0,0.778,,97.0,14.0,18.0,6.0,Playoffs
Challengers League Japan: Split 2,"Playoffs: 
						Lower Round 1",207168,"Tuesday, May 9th 8:30 PM PDT",Lotus,FENNEL,7.0,CREST GAMING Zst,13.0,MrTenzouEz,CGZ,viper,1.17,213.0,1.154,,147.0,15.0,13.0,5.0,Playoffs
Challengers League Japan: Split 2,"Playoffs: 
						Lower Round 1",207168,"Tuesday, May 9th 8:30 PM PDT",Fracture,FENNEL,8.0,CREST GAMING Zst,13.0,MrTenzouEz,CGZ,breach,1.05,197.0,0.933,,123.0,14.0,15.0,13.0,Playoffs
